Strike,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.35391153844854867,0.36538254734764014,0.37839750621382146,0.43432659119463174
1.85,0.3514639706107293,0.357463069781065,0.36255885606335575,0.4213323127494807
1.9,0.33907541208381137,0.35320921968754193,0.35723347955967805,0.37118162943663996
1.95,0.3563345661707729,0.3589418179795316,0.3516204692942452,0.3733477070270551
2,0.3420373861224061,0.35547863561785764,0.36704322044234194,0.3859426812826017
2.05,0.3327387800785746,0.3724004124511973,0.3732818698422591,0.3820158971608017
2.1,0.30380234523037236,0.3918163778517024,0.39961678681771545,0.41194972465118507
2.15,NaN,0.5441849979576995,0.39374802871173464,0.4063361313479899
2.2,NaN,0.6460902817194234,0.4073885096816317,0.42372296533247333
2.25,NaN,1.6228188246934667,0.43100922372824113,0.4486024268527996
2.3,NaN,1.7296676216232698,0.46310011528588746,0.4975753643490562
2.35,NaN,0.8722849978192935,0.4984594227558357,0.529528083550499
2.4,NaN,1.1540057872917258,0.5243542666461155,0.565895656437117
2.45,NaN,2.0300535706967495,0.5704204850666857,0.6148040798888144
2.5,NaN,2.044295145121175,0.6151357036083429,0.6622353038471167
2.55,NaN,2.0763925945176696,0.658596528094478,0.7082986764356581
2.6,NaN,2.217489691167772,0.7008862569456068,0.7302605974845977
